bin_mean_x,bin_mean_y,bin_se_y
-1.3831540050961184,0.4097667218250338,0.27780035887477805
-0.4169115252207097,0.3064531643683779,0.15621415973645777
0.16112037835389892,0.1303694375139246,0.1818990856552591
0.4834275357512278,0.37335942119988014,0.14592057052509225
0.8069378118776116,-0.13795132842738367,0.1543987302995383
1.0637378420406811,0.23786685222551776,0.16190980522958204
1.2714429518552977,-0.03789149957540028,0.10997870402913462
1.5389766556921962,0.05844323301150259,0.11788780997858289
1.721296152549756,-0.34468891778441746,0.1673369605113976
1.9076720662776805,-0.15348062397759843,0.19244342219546082
2.0927936496671378,0.08057044019061799,0.1197646539052745
2.238426268670069,0.098019748911328,0.16030126738905587
2.479632157518985,0.11696927270110535,0.1901417755402164
2.798687386095334,0.14094703153751073,0.1676818301092325
3.11725261740351,-0.016960904929285814,0.16193369362554502
3.4672927276946965,-0.036452056134000085,0.1445274726144796
3.7454479568496177,-0.2694010397309712,0.1587907069935477
4.144263400243117,-0.28701659579561795,0.15134681201842798
4.785119961985023,-0.5635204358025323,0.20667428360353696
6.1385118726036385,-0.5144854170355742,0.24416008478327686
