bin_mean_x,bin_mean_y,bin_se_y
-1.3831540050961184,-0.9744692026518416,0.1789321329253936
-0.4169115252207097,-0.7046808765429817,0.26846210172530444
0.16112037835389892,-0.3373292719046172,0.28671737716998436
0.4834275357512278,-0.33610656003077033,0.19390993456051198
0.8069378118776116,0.09323247818241032,0.26094254969891123
1.0637378420406811,-0.27657548165716517,0.24879566323424077
1.2714429518552977,0.21258118237894247,0.20319397178197318
1.5389766556921962,-0.010586299837234137,0.15724663071991316
1.721296152549756,0.4503683880405833,0.2090497310226767
1.9076720662776805,-0.007367454346974138,0.15383504301596038
2.0927936496671378,0.12073853831202302,0.20452689537068497
2.238426268670069,-0.6210490589023693,0.21322990696520283
2.479632157518985,-0.2803323529177574,0.22794022460764898
2.798687386095334,-0.0963605194545454,0.26392154254477196
3.11725261740351,-0.07307735142005822,0.16880062747305874
3.4672927276946965,0.26429854501314803,0.21115438140357215
3.7454479568496177,0.662414290951223,0.29465660557197004
4.144263400243117,0.43285534835968653,0.1774046978204186
4.785119961985023,0.9646571794987786,0.23467774781041886
6.1385118726036385,1.2910515104374696,0.3060935175073061
