date,prod_yoy_pct,d_wage_share_yoy_pp,wage_share_pct,d_profit_share_yoy_pp,profit_share_pct
1955-07-01,3.7785351971370673,-0.1638193096036744,54.36973090574379,1.4596462980176135,11.663075489109085
1955-10-01,2.2998357417680193,0.12004466662551039,54.54023409259378,0.8966753754497496,11.801176868942923
1956-01-01,-0.8671027462345382,1.5019509148176056,55.22005885215556,-0.576555062299299,11.238305749227964
1956-04-01,-0.7178433197165823,1.381901018430149,55.490011434721204,-0.7566355714220911,11.1302437165086
1956-07-01,-1.0939285881206295,1.132262706717448,55.50199361246124,-0.7344443772296376,10.928631111879447
1956-10-01,0.3311603978535249,1.1348147169739775,55.675048809567755,-0.8960661434340338,10.905110725508889
1957-01-01,2.6812737865143266,0.17237035391792688,55.39242920607349,-0.24185848359880602,10.996447265629158
1957-04-01,1.7935844514919363,0.02759886134362688,55.51761029606483,-0.4763588587150487,10.653884857793551
1957-07-01,3.2027123820155268,-0.29250019236906866,55.20949342009217,-0.6385312140713602,10.290099897808087
1957-10-01,2.466153317279751,-0.22738379390010977,55.447665015667646,-1.3716443014379962,9.533466424070893
1958-01-01,-0.0544940580904818,0.16795065447320212,55.56037986054669,-2.5552443738979687,8.441202891731189
1958-04-01,2.2344465716043427,-0.5519127423652961,54.965697553699535,-2.0500940031350723,8.60379085465848
1958-07-01,2.7005299227318424,-0.20631336735887373,55.0031800527333,-1.0774150894036918,9.212684808404395
1958-10-01,4.0625751893844875,-0.9465590313416001,54.501105984326045,0.5941471520118213,10.127613576082714
1959-01-01,5.56886219599817,-0.7436926189579154,54.816687241588774,2.192112805954622,10.633315697685811
1959-04-01,4.644099812639535,-0.1572491185044811,54.808448435195054,2.697588837029887,11.301379691688366
1959-07-01,2.919939075486111,-0.3541477995839841,54.649032253149315,1.108551530575557,10.321236338979952
1959-10-01,0.9024839247558702,0.3961698386024466,54.89727582292849,0.18926118744358078,10.316874763526295
1960-01-01,3.0871251216141538,0.23465359077400905,55.05134083236278,0.1672400953881521,10.800555793073963
1960-04-01,0.5473885477547569,0.9533612787104673,55.76180971390552,-1.174226590483368,10.127153101204998
1960-07-01,1.0051610590570803,0.8074893266044967,55.45652157975381,-0.45932183688685946,9.861914502093093
1960-10-01,0.0,1.0275071729045067,55.924782995833,-0.7822050041607298,9.534669759365565
1961-01-01,-1.0237496772827814,0.5637030744439642,55.61504390680675,-1.5821446580288825,9.21841113504508
1961-04-01,3.142928397095446,-0.4444186834759378,55.31739103042958,-0.32038677264475446,9.806766328560244
1961-07-01,4.2345316260874455,-0.43805995456708047,55.01846162518673,0.22204361397556838,10.083958116068661
1961-10-01,6.420475377032542,-0.9932624623269675,54.93152053350603,1.1120271742148642,10.64669693358043
1962-01-01,6.757988121965219,-0.8212936016787395,54.79375030512801,1.3118297856081718,10.530240920653252
1962-04-01,3.7635524330116077,-0.11323223396208704,55.204158796467496,0.607047911420036,10.41381423998028
1962-07-01,3.727987716984682,-0.13731514071232453,54.88114648447441,0.4646710908466307,10.548629206915292
1962-10-01,3.604312063123416,0.21612433485485383,55.147644868360885,0.27265369031713327,10.919350623897563
1963-01-01,2.2837303108907747,0.32438272965561055,55.11813303478362,0.27883524813028693,10.80907616878354
1963-04-01,3.438325391010455,-0.014179248963074542,55.18997954750442,0.7380360121824765,11.151850252162756
1963-07-01,4.210427666871208,-0.16048805643410446,54.7206584280403,0.5705681166690688,11.11919732358436
1963-10-01,3.4118447891692494,-0.28403394500117685,54.86361092335971,0.23629410083169233,11.155644724729255
