regression,dependent_var,intercept,slope,t_hac,r2,correlation,n_obs,maxlags
profit,d_profit_share_yoy_pp,-0.4894533633300894,0.2524678405514266,5.719300935879158,0.19443821954345453,0.4409514934133392,311,4
wage,d_wage_share_yoy_pp,0.2124367270999838,-0.11158364926168107,-2.5650548351618925,0.07794875059839845,-0.27919303465236806,311,4
